gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,daily_charges_estimate,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Churn_Real,Churn_Prob,Churn_Pred,tenure_rango,MonthlyCharges_rango,Contract,InternetService
0,1,0,0,11,1,1,111.4,1183.05,3.713333333333333,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,0.0,0.6766339537674939,1,0-12,100-120,Month-to-month,Fiber optic
0,1,0,0,4,1,0,69.35,261.65,2.3116666666666665,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.6673137444725676,1,0-12,60-80,Month-to-month,Fiber optic
0,0,0,0,26,1,1,86.65,2208.75,2.8883333333333336,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.4434510268484689,1,25-36,80-100,Month-to-month,Fiber optic
0,0,0,0,5,1,0,104.1,541.9,3.47,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,1.0,0.8032100640009432,1,0-12,100-120,Month-to-month,Fiber optic
1,0,0,0,4,1,0,70.4,281.0,2.3466666666666667,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.7804330275944932,1,0-12,60-80,Month-to-month,Fiber optic
0,0,1,0,3,0,0,29.8,94.4,0.9933333333333334,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.486241669434092,1,0-12,20-40,Month-to-month,DSL
1,0,0,0,10,1,1,98.7,973.25,3.29,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1.0,0.8826633343154049,1,0-12,80-100,Month-to-month,Fiber optic
0,0,1,0,65,1,1,104.25,6812.95,3.475,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,0.0,0.4455756119737292,1,61-72,100-120,Month-to-month,Fiber optic
1,1,1,0,11,1,1,82.9,880.05,2.7633333333333336,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.0,0.7542069417335562,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,13,1,0,98.15,1230.25,3.271666666666667,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,1.0,0.775918981353298,1,13-24,80-100,Month-to-month,Fiber optic
